n1=9
n2=3
n3=1
n4=3
rand("seed", 9313);
T = rand(11,11) + rand(11,11);
A = floor((1.0 - n3 *0.005 - n4 *0.005 - 0.27)*T)
 

0.   1.   0.   0.   0.   0.   0.   0.   1.   0.   0.
0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.
0.   1.   0.   0.   1.   0.   0.   0.   0.   0.   0.
0.   0.   0.   1.   0.   0.   0.   1.   0.   0.   0.
1.   0.   0.   1.   0.   0.   0.   0.   0.   1.   0.
0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.
0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.
1.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.
0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.
0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
